gauge_id,altitude,area,river,Codigo_Adicional,Codigo_Operadora_Unidade_UF,Data_Periodo_Climatologica_Fim,Data_Periodo_Climatologica_Inicio,Data_Periodo_Desc_Liquida_Fim,Data_Periodo_Desc_liquida_Inicio,Data_Periodo_Escala_Fim,Data_Periodo_Escala_Inicio,Data_Periodo_Piezometria_Fim,Data_Periodo_Piezometria_Inicio,Data_Periodo_Pluviometro_Fim,Data_Periodo_Pluviometro_Inicio,Data_Periodo_Qual_Agua_Fim,Data_Periodo_Qual_Agua_Inicio,Data_Periodo_Registrador_Chuva_Fim,Data_Periodo_Registrador_Chuva_Inicio,Data_Periodo_Registrador_Nivel_Fim,Data_Periodo_Registrador_Nivel_Inicio,Data_Periodo_Sedimento_Inicio,Data_Periodo_Sedimento_fim,Data_Periodo_Tanque_Evapo_Fim,Data_Periodo_Tanque_Evapo_Inicio,Data_Periodo_Telemetrica_Fim,Data_Periodo_Telemetrica_Inicio,Data_Ultima_Atualizacao,station_name,latitude,longitude,Municipio_Codigo,Municipio_Nome,Operadora_Codigo,Operadora_Sigla,Operadora_Sub_Unidade_UF,Operando,Responsavel_Codigo,Responsavel_Sigla,Responsavel_Unidade_UF,Rio_Codigo,Rio_Nome,Sub_Bacia_Codigo,Sub_Bacia_Nome,Tipo_Estacao,Tipo_Estacao_Climatologica,Tipo_Estacao_Desc_Liquida,Tipo_Estacao_Escala,Tipo_Estacao_Piezometria,Tipo_Estacao_Pluviometro,Tipo_Estacao_Qual_Agua,Tipo_Estacao_Registrador_Chuva,Tipo_Estacao_Registrador_Nivel,Tipo_Estacao_Sedimentos,Tipo_Estacao_Tanque_evapo,Tipo_Estacao_Telemetrica,Tipo_Rede_Basica,Tipo_Rede_Captacao,Tipo_Rede_Classe_Vazao,Tipo_Rede_Curso_Dagua,Tipo_Rede_Energetica,Tipo_Rede_Estrategica,Tipo_Rede_Navegacao,Tipo_Rede_Qual_Agua,Tipo_Rede_Sedimentos,UF_Estacao,UF_Nome_Estacao,codigobacia
12360000,,7690.0,RIO AMAZONAS,,2,,,,1982-06-01 00:00:00.0,,1982-06-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,2012-04-01 00:00:00.0,2001-08-01 00:00:00.0,2023-09-08 00:00:00.0,FOZ DO BREU,-9.4097,-72.7158,2006200,MARECHAL THAUMATURGO,500,ÁGUA E SOLO,1,1,1,ANA,27,12200000,RIO JURUÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,0,1,7,1,2,0,0,0,0,1,AC,ACRE,1
12370000,,16100.0,RIO AMAZONAS,ANA,2,,,,1981-04-01 00:00:00.0,,1981-04-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2001-08-01 00:00:00.0,2023-09-08 00:00:00.0,THAUMATURGO,-8.9458,-72.7847,2006200,MARECHAL THAUMATURGO,500,ÁGUA E SOLO,1,1,1,ANA,27,12200000,RIO JURUÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,2,0,0,0,3,0,AC,ACRE,1
12390000,,22200.0,RIO AMAZONAS,ANA,2,,,,1997-03-01 00:00:00.0,,1997-03-01 00:00:00.0,,,,,,2008-04-01 00:00:00.0,,,,,2008-04-01 00:00:00.0,,,,,2004-10-01 00:00:00.0,2023-09-08 00:00:00.0,PORTO WALTER,-8.2672,-72.7411,2007800,PORTO WALTER,500,ÁGUA E SOLO,1,1,1,ANA,27,12200000,RIO JURUÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,1,0,1,1,7,1,2,0,0,0,3,1,AC,ACRE,1
12400000,,1030.0,RIO AMAZONAS,,2,,,,1973-05-01 00:00:00.0,,1973-05-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,2018-06-01 00:00:00.0,2002-08-01 00:00:00.0,2023-09-08 00:00:00.0,SERRA DO MOA,-7.4483,-73.6644,2005000,MÂNCIO LIMA,500,ÁGUA E SOLO,1,1,1,ANA,27,12240000,RIO MOA,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,0,0,7,1,3,0,0,0,3,1,AC,ACRE,1
12420000,,5720.0,RIO AMAZONAS,,2,,,,2005-09-01 00:00:00.0,,2005-09-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,2008-08-01 00:00:00.0,2005-09-01 00:00:00.0,2023-09-08 00:00:00.0,BASE SÃO SALVADOR,-7.4125,-73.1914,2005000,MÂNCIO LIMA,500,ÁGUA E SOLO,1,1,1,ANA,27,12240000,RIO MOA,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,0,1,7,1,3,0,0,0,3,1,AC,ACRE,1
12500000,,37800.0,RIO AMAZONAS,ANA,2,,,,1967-06-01 00:00:00.0,,1967-06-01 00:00:00.0,,,,,,1975-02-01 00:00:00.0,,,,,1981-06-01 00:00:00.0,,,,,2001-08-01 00:00:00.0,2023-09-08 00:00:00.0,CRUZEIRO DO SUL,-7.6333,-72.6603,2003000,CRUZEIRO DO SUL,500,ÁGUA E SOLO,1,1,1,ANA,27,12200000,RIO JURUÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,1,0,1,1,7,1,2,0,0,0,3,1,AC,ACRE,1
12510000,,3400.0,RIO AMAZONAS,,2,,,,1997-03-01 00:00:00.0,,1997-03-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,2008-12-01 00:00:00.0,2004-10-01 00:00:00.0,2023-09-08 00:00:00.0,SERINGAL BOM FUTURO,-7.8492,-72.0547,2011000,TARAUACÁ,500,ÁGUA E SOLO,1,1,1,ANA,27,12253000,RIO LIBERDADE,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,0,1,7,1,3,0,0,0,3,1,AC,ACRE,1
12510500,189.0,3450.0,RIO AMAZONAS,ANA,2,,,,2013-12-01 00:00:00.0,,2013-12-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2013-12-01 00:00:00.0,2023-09-08 00:00:00.0,PONTE DO RIO LIBERDADE,-7.7994,-72.0211,2011000,TARAUACÁ,500,ÁGUA E SOLO,1,1,1,ANA,27,12253000,RIO LIBERDADE,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,1,3,0,0,0,3,0,AC,ACRE,1
12530000,,2070.0,RIO AMAZONAS,,2,,,,1982-06-01 00:00:00.0,,1982-06-01 00:00:00.0,,,,,,2011-04-01 00:00:00.0,,,,,,,,,2012-02-01 00:00:00.0,2005-09-01 00:00:00.0,2023-09-08 00:00:00.0,FAZENDA PARANACRE,-7.9511,-71.4822,2011000,TARAUACÁ,500,ÁGUA E SOLO,1,1,1,ANA,27,12266000,RIO GREGÓRIO,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,0,0,7,1,3,0,0,0,3,0,AC,ACRE,1
12557000,239.0,17.05,RIO AMAZONAS,,,,,,2018-07-01 00:00:00.0,,2016-10-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2025-01-01 00:00:00.0,2025-08-12 17:23:00.0,JORDÃO,-9.1883,-71.9525,2004400,JORDÃO,380,SEMA-AC,1,1,380,SEMA-AC,2,12280000,RIO TARAUACÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,0,3,0,0,0,3,0,AC,ACRE,1
